number_of_rentals,season,month,day,weekday,hour,is_holiday,is_weekend,temp_C,perceived_temp_C,humidity_percent,wind_speed_kmh,weather_code
182,3,1,4,6,0,0,1,3.0,2.0,93.0,6.0,3
138,3,1,4,6,1,0,1,3.0,2.5,93.0,5.0,1
134,3,1,4,6,2,0,1,2.5,2.5,96.5,0.0,1
72,3,1,4,6,3,0,1,2.0,2.0,100.0,0.0,1
47,3,1,4,6,4,0,1,2.0,0.0,93.0,6.5,1
46,3,1,4,6,5,0,1,2.0,2.0,93.0,4.0,1
51,3,1,4,6,6,0,1,1.0,-1.0,100.0,7.0,4
75,3,1,4,6,7,0,1,1.0,-1.0,100.0,7.0,4
131,3,1,4,6,8,0,1,1.5,-1.0,96.5,8.0,4
301,3,1,4,6,9,0,1,2.0,-0.5,100.0,9.0,3
528,3,1,4,6,10,0,1,3.0,-0.5,93.0,12.0,3
727,3,1,4,6,11,0,1,2.0,-1.5,100.0,12.0,3
862,3,1,4,6,12,0,1,2.0,-1.5,96.5,13.0,4
916,3,1,4,6,13,0,1,3.0,-0.5,87.0,15.0,3
1039,3,1,4,6,14,0,1,2.5,0.0,90.0,8.0,3
869,3,1,4,6,15,0,1,2.0,-1.5,93.0,11.0,3
737,3,1,4,6,16,0,1,3.0,0.0,93.0,12.0,3
594,3,1,4,6,17,0,1,3.0,0.0,93.0,11.0,3
522,3,1,4,6,18,0,1,3.0,1.5,93.0,6.5,3
379,3,1,4,6,19,0,1,3.0,1.0,93.0,7.0,3
328,3,1,4,6,20,0,1,3.0,3.0,93.0,4.0,3
221,3,1,4,6,21,0,1,3.0,2.5,93.0,5.0,4
178,3,1,4,6,22,0,1,3.0,2.0,93.0,6.0,4
157,3,1,4,6,23,0,1,4.0,3.5,87.0,5.0,4
83,3,1,5,0,0,0,0,4.0,3.0,93.0,6.0,4
67,3,1,5,0,1,0,0,4.0,3.5,93.0,5.0,4
32,3,1,5,0,2,0,0,5.0,4.0,87.0,6.0,4
22,3,1,5,0,3,0,0,6.0,4.5,84.0,7.5,4
38,3,1,5,0,4,0,0,6.5,5.0,84.0,8.0,4
81,3,1,5,0,5,0,0,6.0,5.5,87.0,5.0,4
444,3,1,5,0,6,0,0,7.0,6.5,81.0,5.0,3
1597,3,1,5,0,7,0,0,7.0,6.0,81.0,6.5,3
3161,3,1,5,0,8,0,0,8.0,7.5,79.0,5.0,3
1342,3,1,5,0,9,0,0,8.0,7.0,82.0,6.0,3
